id;id_belanja;detail;harga;satuan
122;9;Uang Harian Fullboard di Luar Kota: Sumatera Utara - Pegawai UNS;130000;Orang/Hari
123;9;Uang Harian Fullboard di Luar Kota: Riau - Pegawai UNS;130000;Orang/Hari
124;9;Uang Harian Fullboard di Luar Kota: Kepulauan Riau - Pegawai UNS;130000;Orang/Hari
125;9;Uang Harian Fullboard di Luar Kota: Jambi - Pegawai UNS;130000;Orang/Hari
126;9;Uang Harian Fullboard di Luar Kota: Sumatera Barat - Pegawai UNS;120000;Orang/Hari
127;9;Uang Harian Fullboard di Luar Kota: Sumatera Selatan - Pegawai UNS;120000;Orang/Hari
128;9;Uang Harian Fullboard di Luar Kota: Lampung - Pegawai UNS;130000;Orang/Hari
129;9;Uang Harian Fullboard di Luar Kota: Bengkulu - Pegawai UNS;130000;Orang/Hari
130;9;Uang Harian Fullboard di Luar Kota: Bangka Belitung - Pegawai UNS;130000;Orang/Hari
131;9;Uang Harian Fullboard di Luar Kota: Banten - Pegawai UNS;120000;Orang/Hari
132;9;Uang Harian Fullboard di Luar Kota: Jawa Barat  - Pegawai UNS;150000;Orang/Hari
133;9;Uang Harian Fullboard di Luar Kota: D.K.I. Jakarta - Pegawai UNS;180000;Orang/Hari
134;9;Uang Harian Fullboard di Luar Kota: Jawa Tengah - Pegawai UNS;130000;Orang/Hari
135;9;Uang Harian Fullboard di Luar Kota: D.I. Yogyakarta - Pegawai UNS;140000;Orang/Hari
136;9;Uang Harian Fullboard di Luar Kota: Jawa Timur - Pegawai UNS;140000;Orang/Hari
137;9;Uang Harian Fullboard di Luar Kota: Bali - Pegawai UNS;160000;Orang/Hari
138;9;Uang Harian Fullboard di Luar Kota: Nusa Tenggara Barat - Pegawai UNS;150000;Orang/Hari
139;9;Uang Harian Fullboard di Luar Kota: Nusa Tenggara Timur - Pegawai UNS;140000;Orang/Hari
140;9;Uang Harian Fullboard di Luar Kota: Kalimantan Barat - Pegawai UNS;130000;Orang/Hari
